,FRYC2Y10 Index,FRYC1030 Index,DEYC2Y10 Index,DEYC2Y30 Index
2010-01-01,236.183,66.6,205.522,278.045
2010-01-04,236.227,63.8,204.431,273.238
2010-01-05,239.713,65.6,208.667,279.742
2010-01-06,240.834,67.0,208.74,282.092
2010-01-07,241.749,68.3,210.59,284.299
2010-01-08,242.551,68.7,214.022,286.705
2010-01-11,242.833,70.8,212.25,287.779
2010-01-12,241.637,70.5,210.308,286.527
2010-01-13,243.695,71.7,210.499,288.864
2010-01-14,246.859,69.1,211.903,288.986
2010-01-15,246.852,69.3,212.706,289.304
2010-01-18,244.308,69.5,210.638,287.766
2010-01-19,242.326,69.7,209.93,286.347
2010-01-20,242.853,72.9,208.964,288.352
2010-01-21,242.146,74.0,208.747,288.902
2010-01-22,225.664,72.8,210.334,289.57
2010-01-25,225.135,73.9,210.641,289.976
2010-01-26,223.64,73.6,208.793,286.797
2010-01-27,223.828,70.6,206.991,282.844
2010-01-28,226.354,68.8,208.143,282.953
2010-01-29,226.425,66.7,207.722,280.668
2010-02-01,224.925,67.6,206.401,279.701
2010-02-02,225.468,68.0,206.807,280.117
2010-02-03,227.229,68.4,208.637,282.818
2010-02-04,228.715,68.4,209.845,285.318
2010-02-05,240.312,56.0,213.149,285.666
2010-02-08,241.203,53.1,214.885,283.984
2010-02-09,241.433,51.9,211.61,283.285
2010-02-10,239.156,58.3,215.611,287.219
2010-02-11,240.413,59.0,218.563,288.597
2010-02-12,243.606,61.5,220.886,293.362
2010-02-15,245.957,61.1,223.106,296.394
2010-02-16,246.396,62.4,223.362,298.227
2010-02-17,246.371,63.2,213.277,288.589
2010-02-18,247.675,64.2,217.493,291.717
2010-02-19,249.939,62.8,219.921,292.395
2010-02-22,225.315,64.9,219.838,293.06
2010-02-23,222.39,64.6,215.947,289.332
2010-02-24,221.594,64.5,214.972,288.613
2010-02-25,225.325,65.3,216.692,291.863
2010-02-26,224.895,63.6,214.571,289.09
2010-03-01,226.939,65.9,216.194,293.025
2010-03-02,227.133,65.3,216.765,293.107
2010-03-03,227.26,66.1,216.631,293.967
2010-03-04,226.61,66.3,214.606,292.622
2010-03-05,226.15,66.6,215.646,292.616
2010-03-08,227.23,67.0,216.551,293.947
2010-03-09,226.836,69.4,214.778,294.583
2010-03-10,225.654,69.0,214.357,293.568
2010-03-11,225.855,66.6,214.044,292.268
2010-03-12,223.313,65.3,211.725,288.338
2010-03-15,223.887,66.7,212.168,289.591
2010-03-16,223.963,67.5,212.988,290.16
2010-03-17,226.711,68.8,213.994,292.904
2010-03-18,226.692,68.5,213.428,292.256
2010-03-19,224.104,68.5,210.59,289.511
2010-03-22,224.603,67.1,209.432,288.255
2010-03-23,224.436,67.1,209.605,287.458
2010-03-24,227.454,64.5,210.622,287.209
2010-03-25,231.929,61.0,215.62,289.353
2010-03-26,232.559,62.6,215.019,289.961
2010-03-29,232.518,62.2,215.247,289.606
2010-03-30,231.105,63.8,214.025,288.225
2010-03-31,230.764,60.2,213.461,286.712
2010-04-01,229.309,58.4,213.627,283.859
2010-04-02,228.785,58.7,213.305,283.363
2010-04-05,228.621,58.7,213.641,283.493
2010-04-06,232.626,55.9,216.436,285.774
2010-04-07,233.508,57.9,216.553,287.18
2010-04-08,233.776,58.8,217.873,288.822
2010-04-09,232.972,61.0,219.745,290.874
2010-04-12,230.759,61.9,218.406,290.801
2010-04-13,230.372,62.1,217.417,290.257
2010-04-14,231.055,62.8,218.46,292.465
2010-04-15,231.275,62.9,219.283,293.377
2010-04-16,231.705,66.0,219.504,296.413
2010-04-19,232.543,65.0,220.361,296.368
2010-04-20,232.48,65.2,220.543,295.189
2010-04-21,233.585,65.9,220.322,296.743
2010-04-22,233.67,63.3,218.679,293.09
2010-04-23,229.797,64.0,215.934,289.383
2010-04-26,232.075,63.5,216.735,289.928
2010-04-27,230.669,64.0,213.419,282.068
2010-04-28,235.689,58.2,224.409,289.471
2010-04-29,238.174,58.6,226.408,291.671
2010-04-30,237.071,60.7,224.512,292.219
2010-05-03,236.744,61.3,225.168,292.223
2010-05-04,238.555,63.0,223.549,292.432
2010-05-05,240.967,64.9,225.688,295.121
2010-05-06,246.085,66.6,227.554,300.067
2010-05-07,244.392,68.7,226.469,298.914
2010-05-10,247.442,74.5,235.259,311.55
2010-05-11,246.84,79.7,235.88,317.564
2010-05-12,246.523,80.0,230.243,311.093
2010-05-13,247.999,80.0,233.624,312.946
2010-05-14,244.524,78.4,230.451,308.419
2010-05-17,242.617,78.9,229.795,307.23
2010-05-18,238.363,80.7,227.06,304.435
2010-05-19,236.135,82.3,225.733,304.197
2010-05-20,232.07,82.1,220.347,296.72
2010-05-21,222.277,76.9,215.469,287.652
2010-05-24,222.411,76.9,214.017,286.671
2010-05-25,219.902,75.0,210.576,282.851
2010-05-26,222.937,74.3,214.555,286.252
2010-05-27,222.665,74.7,216.496,287.897
2010-05-28,222.308,73.5,216.364,286.651
2010-05-31,220.677,73.3,214.578,284.766
2010-06-01,225.473,71.2,217.64,285.505
2010-06-02,226.342,72.0,215.546,284.419
2010-06-03,229.249,72.8,217.562,287.809
2010-06-04,225.255,72.8,210.785,284.093
2010-06-07,223.928,74.1,208.027,282.57
2010-06-08,227.348,72.0,205.711,279.499
2010-06-09,230.378,73.6,208.326,279.65
2010-06-10,231.342,68.9,209.754,280.919
2010-06-11,229.687,69.0,210.2,282.107
2010-06-14,230.523,68.8,214.361,286.803
2010-06-15,230.693,68.9,216.478,288.596
2010-06-16,231.227,67.8,217.375,290.592
2010-06-17,227.36,67.8,214.287,288.103
2010-06-18,224.538,65.6,214.835,285.652
2010-06-21,221.313,65.8,213.364,284.374
2010-06-22,219.409,65.8,211.166,281.782
2010-06-23,217.584,67.6,206.099,278.743
2010-06-24,220.291,69.9,206.661,280.476
2010-06-25,218.674,69.3,204.272,278.559
2010-06-28,218.231,65.5,202.285,274.794
2010-06-29,216.214,66.3,201.072,274.598
2010-06-30,213.865,64.6,197.767,268.782
2010-07-01,205.249,65.7,188.891,257.696
2010-07-02,206.311,68.6,191.699,261.489
2010-07-05,207.122,67.5,191.814,262.386
2010-07-06,210.836,65.9,194.069,264.413
2010-07-07,208.693,64.9,192.574,262.286
2010-07-08,205.512,62.9,190.737,258.341
2010-07-09,199.303,62.3,186.557,253.219
2010-07-12,201.001,61.7,189.415,257.094
2010-07-13,203.118,61.1,191.33,257.852
2010-07-14,200.679,61.5,188.75,256.398
2010-07-15,200.087,60.2,186.816,254.035
2010-07-16,199.437,62.0,182.982,252.929
2010-07-19,199.564,62.7,182.649,252.207
2010-07-20,201.681,64.0,186.109,255.672
2010-07-21,206.476,65.8,191.179,260.934
2010-07-22,210.694,66.6,196.157,264.635
2010-07-23,210.469,65.3,195.773,263.184
2010-07-26,206.711,66.9,193.005,259.366
2010-07-27,202.75,66.9,189.409,255.53
2010-07-28,202.468,69.9,189.88,259.176
2010-07-29,199.362,71.6,188.412,260.083
2010-07-30,197.825,70.0,188.489,258.61
2010-08-02,200.344,70.0,191.178,261.109
2010-08-03,196.546,70.7,188.18,260.396
2010-08-04,194.2,68.1,186.914,256.075
2010-08-05,188.99,67.4,181.623,249.511
2010-08-06,184.844,68.2,177.231,246.079
2010-08-09,188.501,69.8,180.485,251.112
2010-08-10,192.897,69.1,183.202,255.497
2010-08-11,189.793,71.2,173.784,247.987
2010-08-12,193.265,71.1,175.83,249.992
2010-08-13,194.483,70.6,173.724,249.135
2010-08-16,188.662,67.8,168.54,239.515
2010-08-17,189.391,63.6,169.532,235.408
2010-08-18,187.587,64.5,169.461,233.366
2010-08-19,185.422,67.2,165.405,230.996
2010-08-20,187.503,61.7,166.106,228.215
2010-08-23,189.73,61.3,167.866,229.714
2010-08-24,183.639,60.0,159.474,219.05
2010-08-25,181.483,55.3,155.811,209.77
2010-08-26,179.931,51.3,154.913,204.933
2010-08-27,182.197,50.1,156.665,205.181
2010-08-30,178.804,54.6,153.022,205.023
2010-08-31,179.863,55.8,152.603,205.468
2010-09-01,187.308,59.3,160.824,216.144
2010-09-02,187.921,63.8,166.897,224.775
2010-09-03,191.244,65.0,171.236,232.046
2010-09-06,188.73,64.4,170.365,232.24
2010-09-07,186.512,61.0,168.152,227.169
2010-09-08,184.149,61.8,166.719,224.218
2010-09-09,180.651,58.1,163.564,219.059
2010-09-10,182.996,59.4,166.408,224.059
2010-09-13,183.685,61.0,168.232,227.923
2010-09-14,182.662,58.8,165.065,224.373
2010-09-15,184.707,61.4,165.248,227.807
2010-09-16,189.089,62.1,166.779,231.124
2010-09-17,186.535,60.5,165.28,227.366
2010-09-20,188.277,59.6,166.006,226.422
2010-09-21,187.547,58.6,165.674,224.797
2010-09-22,182.442,62.0,159.954,220.998
2010-09-23,182.457,63.5,159.052,221.516
2010-09-24,183.836,66.3,161.314,225.112
2010-09-27,177.675,66.9,154.78,218.214
2010-09-28,174.925,66.5,151.226,213.493
2010-09-29,171.309,64.4,145.502,207.612
2010-09-30,169.245,61.3,144.404,203.441
2010-10-01,166.933,60.5,143.274,200.803
2010-10-04,167.573,59.6,142.205,199.601
2010-10-05,171.136,61.4,147.65,205.766
2010-10-06,167.772,63.0,145.278,204.6
2010-10-07,170.094,62.2,146.013,205.652
2010-10-08,174.985,58.0,146.754,207.033
2010-10-11,177.99,58.8,147.88,208.497
2010-10-12,178.004,57.9,146.702,206.464
2010-10-13,181.157,59.2,149.946,210.996
2010-10-14,180.835,60.4,149.775,211.771
2010-10-15,184.84,60.2,155.652,217.478
2010-10-18,178.07,58.6,149.954,209.851
2010-10-19,179.007,56.7,151.653,210.781
2010-10-20,176.399,50.5,148.207,202.935
2010-10-21,177.468,49.0,148.867,201.358
2010-10-22,175.359,46.6,147.066,197.553
2010-10-25,175.025,48.5,148.694,199.457
2010-10-26,174.831,46.1,149.562,197.086
2010-10-27,179.019,47.4,154.497,202.227
2010-10-28,177.299,47.2,153.486,200.199
2010-10-29,177.599,46.6,152.879,200.742
2010-11-01,175.202,44.8,150.281,196.385
2010-11-02,173.328,41.7,147.896,191.343
2010-11-03,170.515,41.3,145.595,188.35
2010-11-04,173.941,47.4,147.116,198.29
2010-11-05,177.401,46.1,150.252,199.877
2010-11-08,174.935,47.3,146.764,198.797
2010-11-09,175.224,46.4,147.871,200.032
2010-11-10,179.077,44.2,147.104,196.77
2010-11-11,180.981,46.3,149.018,200.968
2010-11-12,180.883,47.1,148.768,198.664
2010-11-15,182.105,49.2,152.093,202.948
2010-11-16,187.501,49.4,156.468,208.608
2010-11-17,187.467,48.7,155.491,206.551
2010-11-18,191.342,48.7,159.625,210.406
2010-11-19,189.952,48.5,159.589,209.407
2010-11-22,191.717,49.9,161.405,212.336
2010-11-23,195.524,46.1,162.269,213.206
2010-11-24,200.975,46.9,174.483,220.343
2010-11-25,205.08,46.9,175.279,223.842
2010-11-26,207.089,47.0,180.598,227.572
2010-11-29,214.338,45.2,184.391,231.259
2010-11-30,209.44,44.0,181.392,225.069
2010-12-01,218.472,45.6,190.695,235.3
2010-12-02,223.972,47.6,195.416,238.441
2010-12-03,229.264,53.0,199.933,248.666
2010-12-06,231.695,53.3,204.338,252.259
2010-12-07,233.803,55.1,207.862,255.11
2010-12-08,231.333,52.3,201.596,247.135
2010-12-09,221.34,48.3,192.728,235.86
2010-12-10,215.891,48.3,187.676,229.637
2010-12-13,220.074,50.5,191.386,236.506
2010-12-14,222.037,54.5,194.22,241.768
2010-12-15,225.661,52.3,196.418,243.49
2010-12-16,227.676,51.7,198.76,245.537
2010-12-17,226.531,53.0,197.099,244.047
2010-12-20,221.368,53.2,193.426,238.027
2010-12-21,222.259,54.6,195.063,239.697
